0	1	2	3	4
-1.5737983	7.1968503	2.4445434	10.180102	5.4071054
-0.67870414	9.697095	0.27749887	6.6702805	7.3570666
0.10107399	9.850727	0.19745553	6.7972393	6.6335735
-1.4181354	9.57625	0.69579995	7.020323	5.7445574
-0.7595342	9.31252	1.1994364	6.786734	5.789133
-1.2071829	9.027475	-0.6309224	8.192003	8.224364
-1.0564371	8.32021	0.49485025	7.360902	8.970545
0.50134027	10.46457	-0.4276007	6.825147	6.228195
-0.97439724	9.306881	1.0211296	6.204145	4.6564074
1.8474177	10.80892	-0.5858262	8.828412	8.137307
-0.7675047	9.50674	-0.5026698	7.1601405	6.1246414
1.4328136	11.070886	-0.003055949	8.72679	7.691973
-1.0441871	9.110618	1.4056218	6.517714	5.7965565
-0.99679303	9.224365	1.2286986	6.56005	5.7731414
-1.0143267	9.113837	1.3583022	6.530088	5.777607
-0.76311225	9.540924	-0.016744671	7.0675225	9.372178
1.4021249	10.513662	0.07999046	7.6157327	7.272448
-1.0541601	10.097839	0.28224736	7.2273445	8.618309
-0.63084084	9.809119	0.44053513	7.9444523	9.205754
-1.3343658	7.361495	2.1446326	9.632897	5.60481
1.8705653	10.784426	-0.0922123	9.152421	6.651902
-0.90824366	7.9690046	1.8662457	6.9170027	5.9598207
-0.28629005	8.827636	0.1670823	7.6243353	9.871564
-0.19084564	9.3985405	0.63794976	6.586868	6.1925397
-0.1707278	9.395498	0.6768355	6.5448914	6.1601844
-0.6782148	9.546548	0.42978555	6.696698	7.019857
-0.9341081	7.752367	0.93986106	6.937505	6.0164537
-0.94374174	7.768581	0.915346	6.8968573	5.9950066
-0.9280739	7.7267494	0.95352364	6.9564843	6.0160785
-0.9076011	8.1269865	1.7473158	7.0091715	5.946723
-0.92378145	8.076311	1.7799679	6.9933987	5.9997573
-1.3222373	8.604043	1.6929322	7.885585	8.152458
-0.85251254	9.182113	1.0622591	6.455771	4.858391
-1.4299761	8.611398	1.730648	7.942549	8.065932
-1.4046297	8.604878	1.6770679	7.9216847	7.9616637
1.0603635	10.696035	0.056090113	8.243782	7.712697
-0.73541313	8.801397	1.551036	7.029354	5.277388
-1.562174	7.223537	2.5515869	10.112329	5.5143814
2.2672684	10.324384	-0.7312354	10.236436	13.199049
-0.937856	8.004652	1.8371624	6.8896265	5.9861865
-1.2992212	7.4375334	2.3767757	9.878242	5.410962
-1.3167691	8.63459	1.6455468	7.9176846	8.091376
-1.2798764	7.425305	2.3568344	9.82775	5.446993
-0.920892	8.028968	1.8178098	6.8951654	6.0105467
-1.3037083	8.363439	1.6838809	7.4318647	7.1795325
-1.1951367	-7.591344	0.8657978	9.352721	9.395101
-0.7206516	9.3240185	-0.36893323	8.0596695	10.283129
-1.0479602	8.0039015	1.512384	7.25236	6.696553
-1.0371618	7.974969	1.4796102	7.2258744	6.7469406
-1.0351616	7.9647403	1.4700758	7.230191	6.7619815
-1.0217247	7.9615564	1.4656458	7.2129464	6.7579765
